file_name,gt_count,pred_count,tp,fp,fn,precision,recall,f1
21183079,37,26,24,6,13,0.8000,0.6486,0.7164
24657495,41,32,23,11,18,0.6765,0.5610,0.6133
25100859,40,26,23,5,17,0.8214,0.5750,0.6765
25218447,54,44,36,12,18,0.7500,0.6667,0.7059
26076430,66,45,40,6,26,0.8696,0.6061,0.7143
26149123,80,37,37,9,43,0.8043,0.4625,0.5873
26725330,65,31,38,3,27,0.9268,0.5846,0.7170
28091603,38,28,18,10,20,0.6429,0.4737,0.5455
28675934,60,33,32,6,28,0.8421,0.5333,0.6531
28680058,61,38,29,12,32,0.7073,0.4754,0.5686
29681787,61,36,35,9,26,0.7955,0.5738,0.6667
31395880,56,31,30,7,26,0.8108,0.5357,0.6452
31699904,66,68,52,28,14,0.6500,0.7879,0.7123
31699905,45,31,33,3,12,0.9167,0.7333,0.8148
32284562,71,58,48,16,23,0.7500,0.6761,0.7111
32860207,39,32,29,8,10,0.7838,0.7436,0.7632
33630598,51,38,33,7,18,0.8250,0.6471,0.7253
33855848,49,37,36,7,13,0.8372,0.7347,0.7826
35037038,19,22,11,13,8,0.4583,0.5789,0.5116
35236848,14,29,8,22,6,0.2667,0.5714,0.3636
35236989,42,30,24,10,18,0.7059,0.5714,0.6316
35680998,54,64,51,9,3,0.8500,0.9444,0.8947
36097293,32,38,20,22,12,0.4762,0.6250,0.5405
37207340,30,31,17,17,13,0.5000,0.5667,0.5312
37328468,50,18,15,3,35,0.8333,0.3000,0.4412
37330510,69,43,44,13,25,0.7719,0.6377,0.6984
37681923,46,29,26,7,20,0.7879,0.5652,0.6582
